id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total doc. freq.>	score<Average pubyear>	score<Predicted clusters count>
hplc	-0.4883	0.2366	1	61	166	58	2014.31034482759	8
hyaluronic acid	-0.4133	-0.1372	3	31	98	38	2014.68421052632	1
hydraulic retention time	1.3804	-0.4556	5	41	154	39	2016.05128205128	3
hydrogen	0.9583	-0.4761	5	211	1382	306	2015.25163398693	8
hydrogen fermentation	1.2347	-0.2384	5	32	88	29	2014.75862068966	3
hydrogen peroxide	-0.0779	0.2682	6	54	166	42	2014.78571428571	4
hydrogen production	0.8238	-0.4431	5	154	742	248	2014.85483870968	10
hydrogen yield	0.9795	-0.5664	5	34	92	25	2014.56	1
hydrogenase	0.4057	-0.5123	5	55	164	42	2014.66666666667	3
hydrolases	-1.4513	-0.1135	2	20	68	20	2014.2	1
hydrolysate	0.7513	0.1475	4	85	298	54	2014.94444444444	9
hydrolysis	0.0812	0.375	4	238	1320	260	2014.89615384615	13
hydrothermal pretreatment	1.1974	0.5422	4	63	242	49	2016.55102040816	3
hydroxylation	-1.11	-0.3005	2	49	224	72	2014.52777777778	3
identification	-0.5671	0.3268	1	51	146	36	2013.44444444444	5
immobilization	-0.5821	0.0471	2	323	2136	591	2014.79695431472	20
immobilized cells	-0.0788	0.0744	2	95	254	64	2013.78125	8
immobilized enzyme	-0.7135	0.1381	2	36	94	36	2014.47222222222	3
immobilized lipase	-0.5582	0.1988	2	26	78	29	2014.8275862069	2
in situ product recovery	0.5673	-0.0884	7	33	104	23	2015.04347826087	1
in situ product removal	-0.5199	-0.3063	7	30	78	21	2013.95238095238	0
inclusion bodies	-0.704	0.038	1	17	48	20	2014.85	2
induction	-0.2294	0.3321	1	35	80	26	2013.46153846154	1
inhibition	0.6403	0.1502	4	111	358	72	2014.93055555556	13
inhibitor	0.6941	0.446	4	41	118	25	2013.8	4
inhibitor tolerance	0.9106	0.4712	4	34	118	22	2014.90909090909	2
inhibitors	0.7629	0.2885	4	92	346	70	2014.68571428571	6
inulin	0.1072	0.4732	6	74	272	61	2015.11475409836	4
inulinase	0.0323	0.6473	6	61	262	60	2014.53333333333	2
invertase	-0.1391	0.2773	6	42	138	34	2014.20588235294	4
ionic liquid	0.0247	0.4955	4	126	654	141	2014.78014184397	11
ionic liquids	-0.6889	-0.0836	2	105	336	86	2014.60465116279	8
isobutanol	0.6377	-0.5753	3	50	236	59	2015.23728813559	3
isolation	-0.19	0.1585	1	59	178	48	2014.22916666667	6
isoprenoid	-0.4412	-0.6448	6	33	104	22	2015.09090909091	0
isoprenoids	-0.651	-0.8895	6	23	94	21	2015.42857142857	1
itaconic acid	0.0473	-0.1966	7	61	260	61	2015.7868852459	3
jerusalem artichoke	0.322	0.4393	6	50	168	31	2014.35483870968	2
keratinase	-0.6072	0.6482	1	39	106	33	2014.42424242424	1
kinetic analysis	0.457	-0.4308	5	24	50	20	2015.7	6
kinetic model	0.2103	-0.0904	5	114	326	77	2014.79220779221	8
kinetic modeling	0.021	0.1378	1	64	166	43	2015.41860465116	5
kinetic parameters	-0.0449	0.0825	5	69	176	40	2014.275	5
kinetic resolution	-1.3049	-0.061	2	75	496	152	2014.98684210526	0
kinetics	0.0461	-0.068	5	194	724	157	2014.73248407643	17
klebsiella oxytoca	0.0545	-0.5142	3	34	118	25	2014	2
klebsiella pneumoniae	0.1463	-0.8206	3	64	374	92	2014.22826086957	4
kluyveromyces lactis	-0.6349	0.3518	2	21	74	22	2013.68181818182	2
kluyveromyces marxianus	0.4059	0.3758	7	110	502	110	2014.90909090909	2
l-asparaginase	-0.5594	0.5685	1	29	90	37	2013.83783783784	1
l-lactic acid	0.5041	0.1793	7	62	214	68	2015.11764705882	2
l-lysine	-0.6316	-0.3895	3	30	88	28	2015.35714285714	0
l-phenylalanine	-0.3974	-0.4793	7	34	126	37	2014.75675675676	2
l-tryptophan	-0.4307	-0.4619	2	24	102	28	2015.07142857143	0
laccase	-0.1288	0.6214	1	150	744	231	2014.55411255411	4
lactate	0.4722	-0.5404	5	72	228	53	2014.60377358491	5
lactate dehydrogenase	0.129	-0.3245	3	54	220	42	2014.88095238095	3
lactic acid	0.5135	-0.0551	7	225	1218	302	2014.98013245033	12
lactic acid bacteria	0.0283	-0.0542	3	90	302	104	2014.83653846154	8
lactic acid fermentation	0.7666	0.0776	7	29	74	24	2014.875	3
lactobacillus	0.221	-0.2027	3	47	160	43	2014.55813953488	7
lactobacillus brevis	-0.1829	-0.2926	3	44	128	30	2015.06666666667	4
lactobacillus plantarum	-0.2397	0.0622	3	49	132	42	2014.52380952381	2
lactobacillus reuteri	-0.1594	-0.5357	3	33	104	27	2014.37037037037	1
lactobionic acid	0.0184	-0.1036	6	15	54	21	2014.28571428571	1
lactococcus lactis	-0.3193	-0.1123	3	54	160	52	2014.5	3
lactose	-0.3645	0.1529	2	59	214	55	2014.83636363636	6
lactulose	-0.9803	0.3884	2	18	86	24	2015.20833333333	0
levan	-0.4849	0.2534	2	52	184	42	2014.85714285714	1
levansucrase	-0.6128	0.3892	2	31	136	33	2014.90909090909	0
levulinic acid	-0.0053	0.0603	4	28	74	31	2016	5
light intensity	0.3566	-0.9302	6	26	96	28	2014.28571428571	2
lignin	0.6195	0.6622	4	122	590	118	2015.12711864407	9
lignocellulose	0.831	0.6203	4	230	1824	359	2014.86072423398	10
lignocelluloses	0.9088	0.4484	4	41	116	25	2013.92	3
lignocellulosic biomass	0.8839	0.5195	4	224	1296	263	2015.6463878327	11
lignocellulosic ethanol	1.122	0.6218	4	49	132	34	2015.38235294118	3
lignocellulosic hydrolysate	0.9808	0.067	4	38	104	21	2015.19047619048	2
lignocellulosic materials	0.9691	0.6585	4	52	148	27	2015.25925925926	4
limonene	-0.5308	-0.5672	6	31	92	21	2015.80952380952	5
linoleic acid	-0.052	-0.3863	6	28	68	23	2015.21739130435	3
lipase	-0.8549	0.1447	2	264	1990	583	2014.24013722127	12
lipases	-1.0865	0.0247	2	78	330	96	2014.625	4
lipid	0.2638	-0.7245	6	96	432	107	2014.7476635514	4
lipid accumulation	0.2522	-0.6142	6	36	88	25	2015.44	3
lipid production	0.3938	-0.5781	6	33	84	24	2015.04166666667	3
lipids	0.1164	-0.7249	6	79	294	66	2014.89393939394	5
lovastatin	-0.4255	0.3387	1	41	146	39	2014.71794871795	0
lutein	0.0867	-0.8781	6	27	104	30	2015.6	1
lycopene	-0.3372	-0.7649	6	37	136	37	2014.94594594595	1
lysine	-0.0377	-0.2922	3	40	102	28	2015.25	4
macroalgae	0.8065	0.0401	3	62	220	43	2016.16279069767	7
magnetic nanoparticles	-0.8481	-0.0142	2	34	120	28	2016.28571428571	3
malic acid	0.4252	-0.1016	7	34	110	25	2015.68	2
manganese peroxidase	-0.0232	0.8587	1	30	100	23	2014.5652173913	1
mannitol	0.1736	-0.3207	3	62	198	40	2014.85	5
mass balance	1.1671	0.6229	4	42	104	21	2015.14285714286	2
mass spectrometry	-0.1917	-0.1108	6	37	90	28	2014.89285714286	3
mass transfer	0.3317	-0.0541	5	62	188	50	2015.22	5
mathematical model	-0.3443	-0.4101	3	35	86	21	2014.52380952381	7
mathematical modeling	0.3273	-0.1633	7	68	198	49	2015.14285714286	6
mathematical modelling	0.0287	0.0411	7	38	82	20	2015.2	3
media optimization	-0.0607	0.1035	1	33	86	22	2013.68181818182	3
medium optimization	-0.1789	0.2211	1	88	316	90	2014.16666666667	7
membrane bioreactor	0.5382	-0.0556	7	52	136	34	2014.88235294118	5
mesophilic	1.1272	-0.4945	5	37	122	20	2015.4	4
metabolic engineering	-0.2082	-0.4334	3	352	3296	872	2015.45412844037	17
metabolic flux analysis	0.3004	-0.3988	3	80	244	58	2014.29310344828	5
metabolic pathway	0.5481	-0.6439	5	35	80	23	2015.21739130435	6
metabolism	-0.0073	-0.4262	3	72	172	48	2015.10416666667	8
metabolomics	-0.0364	-0.4936	6	69	184	52	2016	7
methane	1.0937	-0.4077	5	119	698	170	2016.03529411765	8
methane production	1.1734	-0.5591	5	33	114	38	2016.52631578947	5
methanogenesis	0.9862	-0.374	5	41	130	39	2016	6
methanol	0.0533	-0.4785	3	67	232	66	2015.39393939394	6
methyl jasmonate	-0.6197	0.1315	1	26	96	38	2013.28947368421	2
mevalonate pathway	-0.844	-0.7112	6	36	152	40	2015.5	0
microalgae	0.3555	-0.7121	6	198	1406	359	2015.3426183844	10
microbial community	1.2499	-0.4529	5	70	308	87	2016.48275862069	8
microbial consortium	0.5771	-0.417	3	34	90	25	2016	4
microbial diversity	0.7935	-0.4335	5	37	100	22	2014.63636363636	5
microbial electrolysis cell	1.3082	-0.6163	5	25	76	21	2017.14285714286	3
microbial electrosynthesis	0.0772	-0.6293	3	21	50	23	2017.13043478261	2
microbial fermentation	0.6317	0.2258	4	25	64	20	2015.3	2
microbial growth	-0.0607	-0.0107	1	54	192	32	2014.65625	7
microbial lipid	0.4895	-0.4066	6	33	94	24	2015.08333333333	3
microbial lipids	0.6527	-0.7587	6	32	106	25	2015.76	3
microbial oil	0.389	-0.6704	6	23	78	21	2014.33333333333	2
microbial production	-0.5503	-0.4611	6	39	120	27	2014.33333333333	2
microbial transformation	-1.0062	-0.3362	2	14	38	32	2013.75	2
microwave	0.1057	0.1553	2	50	140	34	2014.88235294118	8
microwave irradiation	-0.6782	0.1734	2	45	124	28	2014.5	4
miscanthus	1.1211	0.8748	4	34	102	24	2015	2
mixed culture	0.5028	-0.2275	5	112	348	80	2014.9125	9
mixed culture fermentation	0.937	-0.5863	5	22	72	25	2015.56	2
mixed cultures	0.6849	-0.3225	5	46	112	22	2014.63636363636	4
mixing	0.73	0.3661	4	26	96	21	2015.19047619048	3
modeling	0.1172	0.0299	7	139	454	95	2014.44210526316	13
modelling	0.2718	-0.1692	7	71	230	45	2014.77777777778	8
molasses	0.3388	-0.067	6	115	354	70	2015.25714285714	8
molecular weight	-0.2972	-0.1101	3	56	176	41	2014.78048780488	3
monooxygenase	-1.0483	-0.1988	2	28	84	21	2015.28571428571	4
monoterpene	-1.0667	-0.6581	6	19	94	20	2015.55	1
morphology	-0.1733	0.2546	3	59	158	45	2014.31111111111	4
mortierella alpina	-0.1191	-0.5379	6	29	100	27	2014.77777777778	1
mutagenesis	-0.4017	0.2088	1	77	224	54	2014.51851851852	4
mutant	-0.2266	-0.1503	3	51	130	38	2014.94736842105	5
mutation	-0.1826	-0.0225	6	66	166	42	2013.42857142857	6
n-acetylglucosamine	-0.5753	0.5156	1	22	86	24	2014.25	1
n-butanol	0.8295	-0.2365	7	45	134	38	2015.36842105263	0
n-glycosylation	-1.1038	0.2152	1	10	22	20	2014.4	1
nadh	0.5421	-0.6361	3	45	144	28	2015.25	3
nadh regeneration	-0.6442	-0.3414	2	26	74	20	2014.4	3
nadph	-0.0307	-0.688	3	49	144	35	2014.85714285714	4
nanofiltration	0.7016	0.2755	7	48	180	38	2015.13157894737	5
nanoparticles	-0.712	0.0692	1	66	208	69	2014.65217391304	9
natural products	-1.0165	-0.205	1	46	230	61	2015.52459016393	5
nisin	-0.3034	-0.0198	3	25	78	27	2014.7037037037	2
nitrilase	-1.0097	-0.0766	2	40	160	53	2014.69811320755	0
nitrile hydratase	-0.8785	-0.1663	2	18	44	21	2014.28571428571	0
nitrogen	0.4598	-0.2307	5	65	140	33	2014.45454545455	6
nitrogen source	-0.1363	-0.3076	3	50	138	48	2014.72916666667	7
nitrogenase	0.5525	-0.7194	5	26	92	20	2014.65	3
nmr	-0.2947	-0.0754	3	39	98	24	2015.5	6
novozym 435	-0.7248	0.1463	2	33	114	38	2014.15789473684	2
oil palm empty fruit bunch	0.9986	-0.1609	5	35	132	24	2014.70833333333	4
oleaginous yeast	0.3012	-0.6912	6	55	208	47	2015.36170212766	2
oleic acid	-0.3693	-0.3193	6	31	82	22	2013.90909090909	5
oligosaccharides	-0.6471	0.1559	2	49	130	33	2014.72727272727	4
optimisation	-0.0908	0.3292	7	55	150	30	2014.4	6
optimization	-0.1696	0.3161	1	395	2862	625	2014.3808	25
organic acids	0.6457	-0.0951	7	62	158	40	2015.375	8
organic loading rate	1.3645	-0.4992	5	38	118	29	2016.03448275862	3
organic solvent	-1.0707	0.099	2	56	146	38	2014.78947368421	3
organosolv pretreatment	1.207	0.2203	4	34	106	20	2015.05	3
overexpression	-0.2961	0.0279	1	58	150	49	2015.02040816327	5
oxidation	-1.1224	-0.2375	2	70	306	69	2015.17391304348	7
oxidative stress	-0.3372	-0.3319	6	44	120	42	2014.2619047619	3
oxidoreductases	-1.2622	-0.2956	2	35	122	30	2015.73333333333	2
oxygen transfer	-0.2964	-0.2454	6	42	104	26	2014.34615384615	4
packed bed reactor	-0.409	0.0452	2	35	80	24	2014.45833333333	2
palm oil mill effluent	1.0275	-0.538	5	56	180	43	2015.37209302326	4
particle size	0.6895	0.7408	4	35	86	24	2014.58333333333	4
pathway engineering	-0.4905	-0.3985	3	40	98	30	2015.16666666667	4
pectin	-0.3029	0.339	1	40	98	22	2014.40909090909	4
pectinase	-0.1549	0.7577	1	62	216	52	2014.73076923077	4
penicillin g acylase	-1.0525	-0.005	2	22	58	21	2014.47619047619	0
penicillium oxalicum	-0.2732	1.11	1	35	120	30	2015.5	3
pentose phosphate pathway	0.1875	-0.6518	3	36	108	26	2015.88461538462	3
pervaporation	1.0039	-0.0459	7	60	248	58	2015.15517241379	3
ph	0.4684	-0.2744	5	143	518	120	2014.29166666667	13
ph control	0.4599	-0.3198	5	45	120	24	2014.83333333333	4
pha	-0.2529	-0.4208	3	34	104	25	2013.84	1
phanerochaete chrysosporium	0.3654	0.6962	4	41	106	22	2013.27272727273	2
phb	-0.2859	-0.5443	3	72	338	77	2014.55844155844	2
phenolic compounds	0.1616	0.4389	1	70	166	38	2015	4
photo-fermentation	0.895	-0.564	5	34	130	31	2015.83870967742	1
photobioreactor	0.4563	-0.8357	5	66	320	85	2014.50588235294	2
photofermentation	0.8437	-0.7545	5	45	264	54	2014.74074074074	1
photosynthesis	0.3712	-0.9197	5	36	144	42	2014.83333333333	6
photosynthetic bacteria	0.7228	-0.7502	5	32	112	33	2014.36363636364	1
phytase	-0.5692	0.5596	1	55	204	60	2014.53333333333	1
pichia pastoris	-0.6676	0.2776	1	179	1006	332	2014.5813253012	6
pichia stipitis	0.7653	0.9221	4	45	196	39	2013.23076923077	1
pilot scale	1.1627	0.1778	7	38	94	22	2014.77272727273	5
plackett-burman	-0.4727	0.7063	1	38	104	24	2013.91666666667	3
plackett-burman design	-0.3705	0.6205	1	97	434	92	2014.4347826087	10
pleurotus ostreatus	-0.1933	0.7891	1	37	114	33	2014.09090909091	2
poly(3-hydroxybutyrate)	-0.0412	-0.4478	3	49	154	44	2014.38636363636	4
poly(3-hydroxybutyrate-co-3-hydroxyvalerate)	0.0624	-0.4264	3	27	62	21	2014.38095238095	1
poly-beta-hydroxybutyrate	-0.0403	-0.3315	3	35	82	21	2014.80952380952	3
poly-gamma-glutamic acid	-0.307	-0.1794	3	23	80	29	2015.89655172414	0
polygalacturonase	-0.4356	0.562	1	30	86	28	2014.25	2
polyhydroxyalkanoate	-0.0413	-0.3809	3	79	276	94	2014.62765957447	3
polyhydroxyalkanoates	-0.116	-0.3733	3	123	520	145	2014.88275862069	3
polyhydroxybutyrate	0.0454	-0.2318	3	103	324	92	2014.48913043478	3
polyketide	-0.8875	-0.1812	1	36	110	37	2014.59459459459	1
polyketide synthase	-0.8006	-0.1613	1	21	56	20	2015.35	2
polysaccharide	-0.5393	0.2417	1	47	132	32	2014.78125	4
polysaccharides	-0.4278	0.1168	1	40	94	28	2015.07142857143	7
polyunsaturated fatty acids	-0.0533	-0.6617	6	45	130	32	2014.90625	3
pre-treatment	0.9019	0.154	4	76	236	47	2015.51063829787	7
prebiotics	-0.4567	0.3689	2	39	122	32	2014.90625	4
pretreatment	1.1735	0.5102	4	232	2858	563	2014.82770870338	13
process integration	1.0366	-0.0421	7	46	174	30	2014.73333333333	3
process intensification	-0.1748	-0.0013	2	53	142	39	2016.15384615385	4
process optimization	-0.0182	-0.0283	7	82	212	53	2015.16981132075	8
process simulation	0.313	-0.2233	7	45	110	28	2016.21428571429	5
prodigiosin	-0.2356	0.1995	1	22	70	21	2014.09523809524	1
product inhibition	0.0843	-0.113	7	69	214	45	2015.31111111111	3
production	-0.2843	0.2638	1	102	326	74	2014.01351351351	8
productivity	-0.0314	-0.357	3	97	256	61	2014.31147540984	7
promoter	-0.4052	-0.0868	1	44	110	24	2015.79166666667	4
propionic acid	0.3044	-0.3769	3	49	142	46	2014.41304347826	5
protease	-0.3275	0.3697	1	107	446	122	2014.31967213115	7
protein	0.4237	-0.3616	5	42	94	23	2014.26086956522	6
protein engineering	-1.0233	-0.1663	2	100	418	120	2016.41666666667	3
protein expression	-0.615	0.0651	2	33	92	36	2013.77777777778	1
protein secretion	-0.5497	0.5746	1	20	54	20	2014.15	4
proteomics	0.0725	-0.4743	6	47	120	33	2015.18181818182	3
pseudomonas	-0.6417	0.0692	3	35	88	31	2014.38709677419	4
pseudomonas aeruginosa	-0.5772	0.1971	1	45	136	47	2013.76595744681	5
pseudomonas putida	-0.5602	-0.415	3	35	100	35	2014.31428571429	4
pullulan	-0.2888	0.1041	3	48	216	53	2013.8679245283	0
pullulanase	-0.5463	0.294	1	24	76	22	2014.13636363636	1
purification	-0.45	0.3425	1	194	920	253	2014.64031620553	20
pyruvate	0.1518	-0.5925	3	55	152	37	2015.24324324324	3
pyruvate carboxylase	0.1517	-0.4553	3	32	114	23	2015.04347826087	2
pyruvate decarboxylase	0.298	-0.0151	3	36	112	23	2015.21739130435	1
quorum sensing	-0.5764	0.1458	3	23	52	20	2016.15	1
ralstonia eutropha	-0.0091	-0.558	3	45	136	38	2014.44736842105	2
raw glycerol	-0.0014	-0.5281	6	36	128	30	2013.6	3
reactive oxygen species	-0.2246	-0.1759	6	33	74	23	2015.78260869565	4
recombinant e. coli	-0.5011	-0.1335	2	39	96	25	2014.2	1
recombinant escherichia coli	-0.2655	-0.1985	6	40	102	38	2013.78947368421	4
recombinant expression	-0.7317	0.1841	2	28	76	25	2013.68	1
recombinant protein	-0.666	-0.1398	1	52	152	59	2014	3
recombinant protein production	-0.6089	0.0929	1	32	94	33	2014.27272727273	3
recovery	0.2604	-0.1906	7	54	152	36	2015.19444444444	6
recycling	-0.2901	0.196	2	38	90	20	2015.05	6
redox balance	0.538	-0.6131	5	46	112	22	2015.45454545455	2
redox potential	0.9162	-0.4555	5	22	74	21	2014.28571428571	3
reducing sugar	0.28	0.6935	4	40	116	25	2014.84	3
reducing sugars	1.5634	0.431	4	29	100	20	2015.55	3
reduction	-1.2427	-0.2815	2	52	248	59	2014.94915254237	8
regioselectivity	-1.3159	-0.0482	2	53	208	57	2014.91228070175	1
regulation	-0.4847	-0.1341	1	32	82	21	2015	3
renewable energy	1.3298	-0.4504	5	65	228	50	2016	6
renewable resources	-0.501	-0.167	2	37	106	26	2014.76923076923	6
resolution	-1.1793	0.2775	2	22	78	21	2013.33333333333	0
response surface method	0.5484	0.6555	4	41	108	27	2013.88888888889	2
response surface methodology	-0.142	0.3475	1	373	2712	649	2014.34822804314	24
response surface methodology (rsm)	0.173	0.4105	1	81	244	66	2014.59090909091	8
resting cells	-0.4949	-0.3159	3	32	78	20	2015	2
resveratrol	-0.7947	0.0802	1	53	176	69	2014.73913043478	3
rheology	0.2765	0.1456	3	35	92	26	2015.15384615385	5
rhizopus oryzae	-1e-04	0.1136	7	93	380	80	2014.8375	3
rhodobacter capsulatus	0.8143	-0.7855	5	35	180	38	2015.07894736842	1
rhodobacter sphaeroides	0.7252	-0.6341	5	50	192	51	2014.90196078431	2
rhodopseudomonas palustris	0.6084	-0.4772	5	30	82	21	2014.76190476191	1
rhodosporidium toruloides	0.4266	-0.6275	6	38	110	22	2015.59090909091	2
rhodotorula glutinis	-0.128	-0.4803	6	33	94	26	2014.5	3
riboflavin	0.3886	-0.5603	3	24	70	24	2014.41666666667	2
rice husk	0.487	0.6666	4	29	76	20	2016.05	7
rice straw	0.9805	0.6498	4	159	784	167	2014.91017964072	10
rsm	-0.1745	0.5163	1	92	314	70	2014.72857142857	9
s. cerevisiae	0.4578	-0.0217	6	55	172	47	2015.53191489362	4
saccharification	0.575	0.7695	4	165	1082	236	2015.09322033898	11
saccharomyces	0.4705	0.0034	6	25	76	20	2014.85	4
saccharomyces cerevisiae	0.2165	0.0688	6	377	3396	880	2014.76590909091	22
salicylic acid	-0.5455	0.1233	1	14	46	20	2015.35	2
scale-up	-0.0625	-0.2631	6	121	356	96	2015.05208333333	10
scheffersomyces stipitis	0.3144	0.519	4	47	164	32	2014.25	2
schizochytrium sp.	-0.1036	-0.7372	6	19	74	24	2015.08333333333	2
screening	-0.3726	0.219	1	79	208	52	2013.90384615385	5
seaweed	0.6704	-0.1311	3	51	166	39	2015.10256410256	9
secondary metabolism	-0.6994	0.0451	1	17	42	23	2014.95652173913	1
secondary metabolites	-0.4615	-3e-04	1	44	106	43	2015.04651162791	3
secretion	-0.7837	0.2065	1	55	176	45	2014.62222222222	5
separate hydrolysis and fermentation	2.0001	1.1516	4	18	80	21	2014.38095238095	1
separation	0.3848	-0.0536	7	75	224	49	2015.18367346939	8
serratia marcescens	-0.2568	0.2148	1	43	144	37	2013.78378378378	1
sewage sludge	1.4796	-0.4898	5	41	126	27	2014.7037037037	5
shikimate pathway	-0.9082	0.3664	1	19	60	23	2016.91304347826	1
signal peptide	-0.7732	0.3483	1	29	96	29	2015.41379310345	2
silver nanoparticles	-0.9217	0.3152	1	58	314	105	2014.4380952381	4
simulation	0.3883	-0.2856	7	52	146	35	2014.34285714286	8
simultaneous saccharification and fermentation	1.1467	0.6818	4	144	812	170	2014.69411764706	5
simultaneous saccharification and fermentation (ssf)	1.1262	0.7517	4	61	250	59	2014.25423728814	5
site-directed mutagenesis	-0.5349	0.0196	2	31	76	32	2014.40625	4
solid state fermentation	-0.1626	0.6873	1	165	886	220	2014.10909090909	10
solid-state fermentation	-0.1372	0.6633	1	195	1178	302	2014.38741721854	7
soluble expression	-0.7063	0.1685	1	16	50	21	2014.33333333333	0
squalene	-0.0169	-0.5098	6	37	98	30	2016.43333333333	2
ssf	0.5612	0.8983	4	95	466	109	2014.11926605505	3
stability	-0.8431	0.3431	1	77	240	56	2014.26785714286	4
starch	0.3037	-0.2055	5	115	428	95	2014.83157894737	10
statistical optimization	-0.4213	0.4581	1	25	62	24	2014.83333333333	5
steam explosion	0.8307	0.797	4	94	398	85	2014.92941176471	5
steam pretreatment	1.2497	0.7281	4	39	134	28	2013.96428571429	1
steroids	-1.1339	-0.4211	2	11	52	22	2015.63636363636	0
stirred tank bioreactor	-0.2826	0.256	1	29	68	20	2014.9	3
strain improvement	-0.4041	-0.023	1	41	106	28	2014.42857142857	3
streptomyces	-0.6192	0.0561	1	99	340	109	2014.37614678899	5
streptomyces sp.	-0.4869	0.5239	1	27	78	21	2013.7619047619	4
submerged culture	-0.153	0.3001	1	53	136	32	2013.6875	5
submerged fermentation	-0.2101	0.5309	1	148	708	186	2014.24193548387	7
substrate inhibition	-0.3388	-0.1237	3	51	116	27	2014.81481481481	6
substrate specificity	-0.7075	0.0252	2	32	90	31	2015.29032258065	5
succinate	0.3212	-0.7083	3	55	276	59	2015.01694915254	2
succinic acid	0.526	-0.3208	7	153	854	200	2015.34	4
sucrose	-0.0457	-0.0085	6	101	318	70	2014.38571428571	6
sugarcane	0.9814	0.1684	7	47	160	32	2014.90625	5
sugarcane bagasse	0.6722	0.8312	4	201	1234	254	2015.1811023622	4
sugarcane molasses	0.2898	-0.4576	3	40	114	23	2015.04347826087	4
sugars	0.5165	0.0824	7	42	126	25	2015.08	9
surfactant	-0.1885	0.3998	2	65	172	44	2014.68181818182	5
surfactin	-0.3644	0.165	1	39	156	46	2014.84782608696	2
sweet sorghum	1.0854	0.0971	7	56	214	46	2014.91304347826	3
sweet sorghum bagasse	1.0182	0.5852	4	44	132	26	2014.53846153846	2
sweet sorghum juice	0.9959	0.2678	7	36	132	30	2014.73333333333	1
switchgrass	1.0712	0.6721	4	73	282	56	2014.16071428571	5
synergism	0.1122	0.8108	4	38	94	23	2014.78260869565	2
syngas	0.5508	-0.3928	5	34	108	29	2015.31034482759	0
syngas fermentation	0.8523	-0.3348	5	29	108	34	2016.02941176471	3
synthesis	-1.1217	0.3301	2	21	60	26	2014.69230769231	5
synthetic biology	-0.4476	-0.5686	3	125	714	193	2016.09844559585	8
synthetic methods	-1.4175	-0.35	2	26	108	22	2015.95454545455	3
systems biology	0.2571	-0.4491	3	38	98	21	2014.61904761905	1
tannase	-0.4273	0.3776	1	48	156	46	2013.34782608696	1
techno-economic analysis	0.8734	0.0079	7	52	150	39	2016.82051282051	3
temperature	0.383	-0.4161	5	126	412	95	2014.54736842105	15
terpenoids	-0.7993	-0.6444	6	34	120	31	2015.83870967742	1
thermal stability	-0.5991	0.2104	2	46	106	26	2014.84615384615	6
thermodynamics	0.2077	0.0529	5	58	146	29	2015.41379310345	7
thermophiles	0.0992	0.026	7	50	126	25	2014.68	4
thermophilic	0.8784	-0.2658	5	80	294	68	2014.60294117647	5
thermostability	-0.3654	0.4002	2	81	260	73	2015.23287671233	6
thermostable	-0.4322	0.251	2	49	126	37	2014.59459459459	4
thermotolerance	0.4522	0.2213	6	36	112	26	2014.19230769231	1
thermotolerant yeast	0.5679	0.7043	4	46	144	34	2014.58823529412	1
tolerance	0.8741	-0.1055	4	34	92	22	2015	1
toxicity	-0.3807	-0.4453	6	32	76	23	2015.04347826087	4
trametes versicolor	-0.0084	0.7364	1	32	114	27	2014.25925925926	1
transaminase	-1.3393	-0.2327	2	25	96	36	2016.27777777778	0
transcriptome	0.1447	-0.3598	3	43	114	29	2016.03448275862	4
transesterification	-1.0614	0.0083	2	93	506	136	2014.36764705882	7
transformation	-0.4805	0.4345	1	28	70	25	2013.36	4
transgalactosylation	-0.9052	0.3831	2	20	80	20	2015.15	0
transglycosylation	-0.6957	0.4263	2	42	128	56	2014.75	4
trehalose	0.145	-0.0449	6	54	146	43	2014.79069767442	2
trichoderma	-0.464	0.867	1	36	110	22	2014.5	1
trichoderma harzianum	-0.228	1.1095	1	40	128	29	2014.27586206897	2
trichoderma reesei	0.0412	0.7094	1	125	604	114	2014.44736842105	4
two-stage fermentation	0.8082	-0.4904	5	34	88	21	2016.80952380952	5
tyrosinase	-0.7933	0.2294	1	44	98	35	2014.08571428571	3
ultrafiltration	0.5599	0.3173	7	57	182	51	2014.8431372549	8
ultrasonication	-0.371	-0.1578	2	30	78	20	2014.8	4
ultrasound	-0.1404	0.056	2	91	322	69	2015.13043478261	6
vanillin	-0.4823	0.0537	2	47	160	39	2015.5641025641	5
viscosity	-0.2919	0.0473	3	34	82	29	2014.13793103448	4
vitreoscilla hemoglobin	-0.8545	0.4079	1	32	82	26	2015.03846153846	7
volatile fatty acids	0.8658	-0.5274	5	100	420	96	2015.73958333333	10
waste activated sludge	1.2002	-0.6052	5	33	110	28	2015.71428571429	4
wastewater	0.5132	-0.5534	5	64	184	43	2015.51162790698	8
wastewater treatment	0.7994	-0.7022	5	29	76	26	2013.69230769231	5
water hyacinth	1.4747	-0.0213	5	52	176	30	2015.1	6
wheat bran	-0.1208	0.6062	1	83	262	62	2014.41935483871	4
wheat straw	0.9467	0.6053	4	144	670	129	2014.38759689922	7
whey	-0.1339	0.0402	6	61	246	55	2014.54545454545	7
white-rot fungi	0.0583	0.7395	1	49	162	42	2014.2380952381	3
whole-cell biocatalysis	-0.6962	-0.2673	2	61	172	59	2015.27118644068	5
whole-cell biocatalyst	-0.7605	0.005	2	63	170	47	2015.23404255319	5
whole-cell biotransformation	-1.1975	-0.2683	2	19	62	24	2014.5	1
